序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
465,能源金属,-2.99,-2925814448.0,-9.81,-1599741360.0,-5.36,-1326073088.0,-4.45,918655488.0,3.08,2007207680.0,6.73,永杉锂业,2026-05-12 14:34:25
466,自动化设备,-0.96,-3054808064.0,-4.82,-1700251648.0,-2.68,-1354556416.0,-2.14,859258368.0,1.36,2119491328.0,3.34,拓斯达,2026-05-12 14:34:25
467,计算机设备,-0.89,-3068480256.0,-4.97,-1162596864.0,-1.88,-1905883392.0,-3.09,531819008.0,0.86,2497136640.0,4.05,中国长城,2026-05-12 14:34:25
468,通信线缆及配套,1.91,-3120188416.0,-5.67,-1161300224.0,-2.11,-1958888192.0,-3.56,887844352.0,1.61,2222850304.0,4.04,长飞光纤,2026-05-12 14:34:25
469,汽车,-0.97,-3148339200.0,-3.37,-1189154304.0,-1.27,-1959184896.0,-2.1,301326592.0,0.32,2781826560.0,2.98,山子高科,2026-05-12 14:34:25
470,通信服务,-0.98,-3425029024.0,-10.75,-2003510176.0,-6.29,-1421518848.0,-4.46,998112768.0,3.13,2417366528.0,7.59,宜通世纪,2026-05-12 14:34:25
471,食品饮料,-1.42,-3630477344.0,-11.45,-816910880.0,-2.58,-2813566464.0,-8.87,1995928320.0,6.3,1611126272.0,5.08,交大昂立,2026-05-12 14:34:25
472,锂电池,-1.13,-3673827072.0,-8.25,-2346461184.0,-5.27,-1327365888.0,-2.98,2557146112.0,5.74,1086883584.0,2.44,铜冠铜箔,2026-05-12 14:34:25
473,军工电子Ⅱ,-1.48,-3741280768.0,-8.79,-1985885952.0,-4.67,-1755394816.0,-4.12,439175424.0,1.03,3301661184.0,7.76,中航成飞,2026-05-12 14:34:25
474,军工电子Ⅲ,-1.48,-3741280768.0,-8.79,-1985885952.0,-4.67,-1755394816.0,-4.12,439175424.0,1.03,3301661184.0,7.76,中航成飞,2026-05-12 14:34:25
475,传媒,-1.21,-3987498752.0,-7.14,-2459584256.0,-4.41,-1527914496.0,-2.74,574400512.0,1.03,3410625792.0,6.11,华策影视,2026-05-12 14:34:25
476,软件开发,-1.44,-4346010624.0,-8.3,-2503609600.0,-4.78,-1842401024.0,-3.52,1408622080.0,2.69,2899523840.0,5.54,深信服,2026-05-12 14:34:25
477,小金属,-1.5,-4535694592.0,-8.64,-3144775424.0,-5.99,-1390919168.0,-2.65,853412096.0,1.63,3677032960.0,7.01,云南锗业,2026-05-12 14:34:25
478,印制电路板,0.6,-4646663168.0,-4.42,-3335541504.0,-3.17,-1311121664.0,-1.25,946464512.0,0.9,3695311616.0,3.51,世运电路,2026-05-12 14:34:25
479,元件,0.55,-4966051328.0,-4.04,-3800357632.0,-3.09,-1165693696.0,-0.95,1175514112.0,0.96,3794319104.0,3.09,世运电路,2026-05-12 14:34:25
480,电池化学品,-1.58,-5226066176.0,-9.96,-2723238144.0,-5.19,-2502828032.0,-4.77,1004417024.0,1.92,4183900928.0,7.98,星源材质,2026-05-12 14:34:25
481,通信设备,-0.04,-5310623488.0,-2.28,-2320017920.0,-0.99,-2990605568.0,-1.28,-1028852480.0,-0.44,6251888896.0,2.68,中际旭创,2026-05-12 14:34:25
482,数字芯片设计,-0.87,-5846405888.0,-3.44,-5028864256.0,-2.96,-817541632.0,-0.48,3377875456.0,1.99,2465905408.0,1.45,聚辰股份,2026-05-12 14:34:25
483,基础化工,-1.29,-5925279232.0,-4.46,-2796976128.0,-2.11,-3128303104.0,-2.36,1062486272.0,0.8,4778531840.0,3.6,石英股份,2026-05-12 14:34:25
484,IT服务Ⅱ,-1.61,-6252745216.0,-9.73,-3135318016.0,-4.88,-3117427200.0,-4.85,946310656.0,1.47,5207342848.0,8.1,皖通科技,2026-05-12 14:34:25
485,IT服务Ⅲ,-1.61,-6255857664.0,-9.73,-3136301312.0,-4.88,-3119556352.0,-4.85,948001024.0,1.47,5209044480.0,8.1,皖通科技,2026-05-12 14:34:25
486,国防军工,-1.28,-7086515456.0,-6.26,-4080907520.0,-3.6,-3005607936.0,-2.65,628680960.0,0.55,6458893312.0,5.7,菲利华,2026-05-12 14:34:25
487,消费电子零部件及组装,-1.62,-7873771264.0,-8.39,-5960066816.0,-6.35,-1913704448.0,-2.04,1796572416.0,1.91,6061293312.0,6.46,立讯精密,2026-05-12 14:34:25
488,消费电子,-1.68,-8136533248.0,-8.33,-6207657728.0,-6.35,-1928875520.0,-1.97,1941410816.0,1.99,6185715200.0,6.33,立讯精密,2026-05-12 14:34:25
489,机械设备,-0.95,-8385454080.0,-3.55,-4201870336.0,-1.78,-4183583744.0,-1.77,906964992.0,0.38,7214609920.0,3.05,中大力德,2026-05-12 14:34:25
490,通信,-0.33,-8735653632.0,-3.29,-4323528448.0,-1.63,-4412125184.0,-1.66,-30740480.0,-0.01,8669255424.0,3.27,中际旭创,2026-05-12 14:34:25
491,有色金属,-1.41,-9001377280.0,-4.58,-5548916480.0,-2.82,-3452460800.0,-1.76,2868244992.0,1.46,6071718656.0,3.09,紫金矿业,2026-05-12 14:34:25
492,电力设备,-0.21,-9759793408.0,-3.06,-3931230464.0,-1.23,-5828562944.0,-1.83,3900497920.0,1.22,5855793152.0,1.84,汉缆股份,2026-05-12 14:34:25
493,电池,-1.41,-9927552768.0,-8.84,-5566735616.0,-4.96,-4360817152.0,-3.88,3823850752.0,3.4,5994619648.0,5.34,星源材质,2026-05-12 14:34:25
494,半导体,0.06,-10760028160.0,-3.05,-8681967616.0,-2.46,-2078060544.0,-0.59,5172371456.0,1.47,5605951488.0,1.59,卓胜微,2026-05-12 14:34:25
495,计算机,-1.37,-13667236608.0,-7.66,-6801524736.0,-3.81,-6865711872.0,-3.85,2886751744.0,1.62,10604003328.0,5.94,中国长城,2026-05-12 14:34:25
496,电子,-0.41,-28241199104.0,-3.96,-21623824384.0,-3.03,-6617374720.0,-0.93,9192243200.0,1.29,18957815808.0,2.66,立讯精密,2026-05-12 14:34:25
